"SessionID","Timestamp","FileName","FullPath","SizeGB","Extension","LastModified"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:09:42Z","sha256-74701a8c35f6c8d9a4b91f3f3497643001d63e0c7a84e085bed452548fa88d45","C:\Users\arhiv\blobs\sha256-74701a8c35f6c8d9a4b91f3f3497643001d63e0c7a84e085bed452548fa88d45","1.23","","3/7/2026 5:12:05 PM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:09:42Z","sha256-aabd4debf0c8f08881923f2c25fc0fdeed24435271c2b3e92c4af36704040dbc","C:\Users\arhiv\blobs\sha256-aabd4debf0c8f08881923f2c25fc0fdeed24435271c2b3e92c4af36704040dbc","1.04","","3/13/2026 11:28:21 PM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:09:42Z","sha256-aeda25e63ebd698fab8638ffb778e68bed908b960d39d0becc650fa981609d25","C:\Users\arhiv\blobs\sha256-aeda25e63ebd698fab8638ffb778e68bed908b960d39d0becc650fa981609d25","3.11","","12/7/2025 12:26:20 AM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:09:42Z","sha256-e6a7edc1a4d7d9b2de136a221a57336b76316cfe53a252aeba814496c5ae439d","C:\Users\arhiv\blobs\sha256-e6a7edc1a4d7d9b2de136a221a57336b76316cfe53a252aeba814496c5ae439d","4.87","","12/6/2025 10:26:38 PM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:09:43Z","Портфолио1 (2).pdf","C:\Users\arhiv\case_macheret_repo\pdfs_mirror\Новая папка\Без названия (2)\Портфолио1 (2).pdf","1.04",".pdf","5/13/2018 10:10:31 PM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:09:43Z","Портфолио1 (2)_fixed.pdf","C:\Users\arhiv\case_macheret_repo\pdfs_mirror\Новая папка\Без названия (2)\Портфолио1 (2)_fixed.pdf","1.04",".pdf","4/20/2026 12:45:10 PM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:09:44Z","OllamaSetup.exe","C:\Users\arhiv\Downloads\Downolde\OllamaSetup.exe","1.79",".exe","3/27/2026 5:12:40 AM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:09:44Z","default 3.tar.gz","C:\Users\arhiv\OneDrive\_1\default 3.tar.gz","1.23",".gz","6/16/2025 6:46:00 PM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:09:45Z","nesesestematizirovannyy_arhiv_v_oon.zip","C:\Users\arhiv\OneDrive\_1\nesesestematizirovannyy_arhiv_v_oon.zip","6.24",".zip","5/21/2022 7:12:14 PM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:10:26Z","novyy_arhiv_2_.zip","C:\Users\arhiv\OneDrive\_1\novyy_arhiv_2_.zip","2",".zip","11/23/2021 1:27:22 AM"
"e3f98cb5-7343-4d41-ae88-aadd094e5b9d","2026-05-10 03:10:30Z","portfolio1_2_.pdf","C:\Users\arhiv\OneDrive\_1\Новая папка\Без названия (2)\portfolio1_2_.pdf","1.04",".pdf","5/13/2018 10:10:31 PM"
